model,accuracy,precision,recall,f1
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454
KNN,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846
Random Forest,0.7727272727272727,0.7021276595744681,0.6111111111111112,0.6534653465346535
XGBoost,0.7597402597402597,0.6666666666666666,0.6296296296296297,0.6476190476190476
